subject CURIE prefix	object CURIE prefix	predicate	edge count
NCBIGene	ENSEMBL	biolink:related_to	1080
chickenQTL	AQTLTrait	biolink:biomarker_for	7211
MONDO	HP	biolink:subclass_of	25
MESH	MESH	biolink:treats	35982
UBERON	BFO	biolink:subclass_of	2
PR	CHEBI	biolink:has_part	1
OBI	SEPIO	biolink:subclass_of	3
UMLS	MONDO	biolink:subclass_of	46999
sheepQTL	NCBIGene	biolink:related_to	486
UMLS	BFO	biolink:subclass_of	1
NCBIGene	MONARCH_BNODE	biolink:has_sequence_location	79181
OMIM	HP	biolink:related_to	10416
MP	MP	biolink:subclass_of	17670
MGI	MGI	biolink:related_to	1293126
Xenbase	NCBIGene	biolink:related_to	176
HGNC	dictyBase	biolink:orthologous_to	9357
PR	SO	biolink:related_to	174
dbSNP	OMIM	biolink:related_to	25133
HGNC	SGD	biolink:orthologous_to	4012
MONARCH_BNODE	OMIM	biolink:biomarker_for	8
ENVO	ENVO	biolink:located_in	3
GENO	OBI	biolink:subclass_of	1
WormBase	ENSEMBL	biolink:has_gene_product	15907
ZFIN	REACT	biolink:actively_involved_in	12095
IAO	BFO	biolink:subPropertyOf	4
MONARCH_BNODE	OMIM	biolink:related_to	481
RGD	http	biolink:orthologous_to	906
NCBIGene	AQTLTrait	biolink:biomarker_for	33621
GENO	GENO	biolink:subPropertyOf	32
CLO	OIO	biolink:subclass_of	3
HGNC	WormBase	biolink:orthologous_to	15124
HP	UMLS	biolink:subclass_of	8
GENO	GENO	biolink:has_part	4
ENSEMBL	dictyBase	biolink:orthologous_to	8870
HP	OBO	biolink:related_to	10
KEGG-path	OMIM	biolink:related_to	1322
GENO	RO	biolink:subPropertyOf	5
ENSEMBL	SGD	biolink:orthologous_to	21415
FAO	FAO	biolink:subclass_of	32
ZFIN	ZFIN	biolink:related_to	95569
OMIM	MONARCH_BNODE	biolink:has_sequence_location	49
OBO	*non-standard CURIE*	biolink:subclass_of	5946
FlyBase	GO	biolink:part_of	23625
HP	UBERON	biolink:subclass_of	1385
ENVO	owl	biolink:subclass_of	3
MONARCH_BNODE	WBPhenotype	biolink:has_phenotype	88885
HGNC	HGNC	biolink:genetically_interacts_with	625
ZP	CL	biolink:subclass_of	2294
WormBase	SO	biolink:subclass_of	99428
ENSEMBL	WormBase	biolink:orthologous_to	161822
ClinVarVariant	UMLS	biolink:related_to	248280
PR	NCBITaxon	biolink:related_to	533
WormBase	GO	biolink:part_of	31324
dbSNP	sheepQTL	biolink:biomarker_for	1759
NCIT	UMLS	biolink:subclass_of	10791
OBO	OBO	biolink:regulates_process_to_process	14
MPD-strain	MONARCH_BNODE	biolink:related_to	1013
MGI	ZFIN	biolink:related_to	12127
IAO	IAO	biolink:subPropertyOf	5
FBcv	MP	biolink:subclass_of	34
ZP	GO	biolink:subclass_of	4838
WormBase	NCBIGene	biolink:genetically_interacts_with	7
CL	owl	biolink:subclass_of	199
NCBIGene	EcoGene	biolink:orthologous_to	39
Xenbase	ENSEMBL	biolink:orthologous_to	364
CL	CL	biolink:affects	943
OMIM	HP	biolink:has_phenotype	97164
CL	UBERON	biolink:related_to	8
OBI	BFO	biolink:related_to	11
HP	MONDO	biolink:subclass_of	12
ENVO	ENVO	biolink:part_of	75
RGD	GO	biolink:part_of	77299
MGI	HGNC	biolink:related_to	719
MGI	MGI	biolink:interacts_with	41740
WormBase	REACT	biolink:actively_involved_in	6038
FlyBase	PomBase	biolink:related_to	2383
OBI	CHEBI	biolink:related_to	24
MONARCH_BNODE	HGNC	biolink:contributes_to	2
SEPIO	SEPIO	biolink:subclass_of	34
CL	UBERON	biolink:produces	6
NCIT	UBERON	biolink:subclass_of	1
ClinVarVariant	OMIM	biolink:gene_associated_with_condition	107041
IAO	IAO	biolink:inverseOf	3
OBO	OBO	biolink:part_of	8537
OBO	OBO	biolink:related_to	11912
UBERON	PR	biolink:has_part	6
RO	owl	biolink:subclass_of	1
OBO	DOID	biolink:subclass_of	19801
OMIA	UBERON	biolink:has_phenotype	18
UCSC	MONARCH_NODE	biolink:has_part	26381
http	Orphanet	biolink:subclass_of	20720
PR	PR	biolink:subclass_of	1896
OBO	OGMS	biolink:subclass_of	21
PMID	SGD	biolink:related_to	242021
HGNC	FlyBase	biolink:orthologous_to	16085
MGI	RGD	biolink:related_to	17190
PMID	OMIA	biolink:related_to	173
ClinVarVariant	MONDO	biolink:related_to	33553
NCIT	MONDO	biolink:subclass_of	20766
https	NCBIGene	biolink:related_to	10095
MONDO	HP	biolink:related_to	1354
NCIT	BFO	biolink:subclass_of	1
MONARCH_BNODE	SO	biolink:subclass_of	23
FlyBase	CL	biolink:expressed_in	3279
OBI	IAO	biolink:related_to	8
SEPIO	SEPIO	biolink:type	2
PMID	WormBase	biolink:related_to	26012
RO	BFO	biolink:subPropertyOf	26
OBI	GO	biolink:has_participant	1
RGD	PomBase	biolink:orthologous_to	3235
ENSEMBL	FlyBase	biolink:orthologous_to	163413
OMIA	MONARCH_BNODE	biolink:subclass_of	3339
ZFIN	SO	biolink:subclass_of	56890
VGNC	ENSEMBL	biolink:related_to	67
http	OBO	biolink:subclass_of	36397
MGI	ZFIN	biolink:interacts_with	2
chickenQTL	NCBIGene	biolink:related_to	453
FlyBase	DOID	biolink:model_of	1626
OBI	UBERON	biolink:derives_from	4
CL	NCBITaxon	biolink:related_to	4
OBI	BFO	biolink:subPropertyOf	2
OBO	http	biolink:subclass_of	26213
IAO	BFO	biolink:related_to	3
OBO	NCBIGene	biolink:related_to	279
OBI	GENO	biolink:subclass_of	6
MGI	HGNC	biolink:interacts_with	1731
MONARCH_BNODE	GENO	biolink:related_to	186309
CLO	RO	biolink:subPropertyOf	5
WBPhenotype	FBcv	biolink:subclass_of	256
MONARCH_BNODE	MONARCH_BNODE	biolink:related_to	4741582
MONDO	UMLS	biolink:subclass_of	44953
PO	PO	biolink:participates_in	7
GENO	GENO	biolink:inverseOf	13
OBO	OBO	biolink:inverseOf	2
MGI	GO	biolink:part_of	94768
OBO	OBI	biolink:related_to	1
FlyBase	FlyBase	biolink:genetically_interacts_with	2748
GO	OBO	biolink:has_output	1
WormBase	CL	biolink:expressed_in	33
ZFIN	GO	biolink:has_phenotype	5907
rdfs	owl	biolink:subclass_of	1
PR	PR	biolink:derives_from	2
OBO	PR	biolink:subclass_of	1
faldo	owl	biolink:subclass_of	1
GO	FAO	biolink:part_of	3
MONARCH	HGNC	biolink:related_to	664
MONDO	UBERON	biolink:subclass_of	1
PO	BFO	biolink:subclass_of	2
MONARCH	OMIM	biolink:model_of	948
ClinVarVariant	HGNC	biolink:part_of	151427
XCO	owl	biolink:subclass_of	19
https	MONARCH_BNODE	biolink:has_sequence_location	279846
PMID	FlyBase	biolink:related_to	345961
NCBIGene	http	biolink:related_to	2
GO	CL	biolink:related_to	798
ZFIN	MONARCH_NODE	biolink:related_to	9372
OIO	IAO	biolink:subclass_of	5
MONARCH_BNODE	GO	biolink:has_phenotype	9501
UBERON	OBI	biolink:derives_from	1
UBERON	GO	biolink:participates_in	9
NCBIGene	WormBase	biolink:interacts_with	453
HGNC	dictyBase	biolink:related_to	3338
IAO	IAO	biolink:related_to	16
ENSEMBL	GO	biolink:part_of	63314
HGNC	NCBIGene	biolink:same_as	1881
foaf	http	biolink:subclass_of	6
horseQTL	horseQTL	biolink:biomarker_for	2451
HGNC	SGD	biolink:related_to	2445
GO	GO	biolink:related_to	6038
SGD	GO	biolink:enables	19930
HGNC	REACT	biolink:actively_involved_in	27687
NCBIGene	ENSEMBL	biolink:orthologous_to	1383
OBO	MP	biolink:subclass_of	26
MONDO	MONDO	biolink:subclass_of	41256
MONDO	BFO	biolink:subclass_of	2
MONARCH_NODE	HP	biolink:has_phenotype	1082
KEGG-path	KEGG-ds	biolink:related_to	2498
PANTHER	dictyBase	biolink:related_to	5429
http	OBI	biolink:subclass_of	17
BIOGRID	OMIM	biolink:related_to	488
PANTHER	SGD	biolink:related_to	3309
ZFIN	dictyBase	biolink:orthologous_to	11205
HGNC	WormBase	biolink:related_to	4877
ZFIN	SGD	biolink:orthologous_to	4666
IAO	OBI	biolink:subclass_of	6
GENO	owl	biolink:subclass_of	43
OBI	CL	biolink:subclass_of	1
MONARCH_BNODE	OMIA	biolink:has_phenotype	782
dbSNP	GO	biolink:related_to	5269
SO	PR	biolink:subclass_of	2
ENVO	ENVO	biolink:has_input	9
HGNC	NCBIGene	biolink:orthologous_to	1736
OMIA	GENO	biolink:related_to	1033
ENSEMBL	dictyBase	biolink:related_to	2963
MESH	OMIM	biolink:treats	8
PANTHER	WormBase	biolink:related_to	9055
ENSEMBL	SGD	biolink:related_to	10980
MONDO	https	biolink:related_to	4436
FlyBase	ENSEMBL	biolink:has_gene_product	15464
OBI	GO	biolink:subclass_of	4
*non-standard CURIE*	SO	biolink:subclass_of	9
Xenbase	ZFIN	biolink:related_to	9523
GO	GENO	biolink:subclass_of	1
horseQTL	MONARCH_BNODE	biolink:has_sequence_location	4902
ZFIN	WormBase	biolink:orthologous_to	19169
http	NCIT	biolink:subclass_of	15591
MONARCH_BNODE	GO	biolink:related_to	189
RGD	Xenbase	biolink:orthologous_to	3725
MGI	dictyBase	biolink:orthologous_to	10253
GENO	UPHENO	biolink:subclass_of	1
MGI	CL	biolink:expressed_in	29583
STATO	SEPIO	biolink:subclass_of	1
ClinVarVariant	BIOGRID	biolink:part_of	43
FlyBase	EcoGene	biolink:orthologous_to	945
MGI	SGD	biolink:orthologous_to	3984
OMIA	OMIA	biolink:subclass_of	3339
RO	RO	biolink:inverseOf	102
ENSEMBL	NCBIGene	biolink:orthologous_to	17431
ENSEMBL	WormBase	biolink:related_to	48370
ZP	OBO	biolink:subclass_of	104
NCBIGene	FlyBase	biolink:interacts_with	12
CHEBI	REACT	biolink:actively_involved_in	89911
ENVO	CHEBI	biolink:derives_from	1
RGD	SO	biolink:subclass_of	44108
MGI	WormBase	biolink:orthologous_to	17089
foaf	wgs	biolink:subclass_of	1
UMLS	DOID	biolink:subclass_of	15911
dbSNP	horseQTL	biolink:biomarker_for	1797
MONARCH	HP	biolink:related_to	1
OBO	IAO	biolink:has_part	1
MONARCH_BNODE	OMIA	biolink:related_to	48
AspGD	GO	biolink:part_of	130918
GO	GO	biolink:has_phenotype	18
UMLS	OGMS	biolink:subclass_of	16
RGD	EcoGene	biolink:related_to	283
GO	UBERON	biolink:has_input	8
MP	WBPhenotype	biolink:subclass_of	388
GENO	ENVO	biolink:related_to	1
HGNC	FlyBase	biolink:related_to	5744
NCBIGene	PomBase	biolink:related_to	41
rainbow_troutQTL	rainbow_troutQTL	biolink:biomarker_for	584
MONARCH	EFO	biolink:related_to	1951
OBO	ENVO	biolink:part_of	1
GENO	OBI	biolink:in_taxon	2
HGNC	OMIM	biolink:biomarker_for	89
OBO	OBO	biolink:has_input	1
OBO	ENVO	biolink:related_to	3
HGNC	WormBase	biolink:interacts_with	3
NCBIGene	REACT	biolink:actively_involved_in	547
MONARCH_BNODE	WormBase	biolink:related_to	106722
FlyBase	NCBIGene	biolink:genetically_interacts_with	2
MONDO	UBERON	biolink:related_to	3048
MONARCH_BNODE	JAX	biolink:related_to	1005
UBERON	CL	biolink:related_to	112
OMIM	OMIM	biolink:contributes_to	23
PANTHER	FlyBase	biolink:related_to	9654
GO	SO	biolink:has_input	7
foaf	prov	biolink:subclass_of	2
ZFIN	FlyBase	biolink:orthologous_to	17802
OBO	NCBITaxon	biolink:in_taxon	8
OBI	OBO	biolink:has_participant	1
UBERON	GO	biolink:related_to	224
GO	CHEBI	biolink:has_input	1297
HGNC	Orphanet	biolink:related_to	7317
dcterms	foaf	biolink:subclass_of	1
FlyBase	OBO	biolink:expressed_in	43532
SEPIO	IAO	biolink:subPropertyOf	5
dictyBase	GO	biolink:actively_involved_in	21354
GO	CL	biolink:subclass_of	73
CL	PR	biolink:has_part	675
PMID	NCBIGene	biolink:related_to	399176
WormBase	MONARCH_NODE	biolink:related_to	7
*non-standard CURIE*	SO	owl:someValuesFrom	1
MONDO	SO	biolink:related_to	22
ENSEMBL	FlyBase	biolink:related_to	56918
MONDO	MONDO	biolink:related_to	1752
UBERON	http	biolink:subclass_of	20
GO	GO	biolink:subclass_of	103475
BSPO	BSPO	biolink:subclass_of	178
UMLS	http	biolink:subclass_of	21698
VGNC	ENSEMBL	biolink:orthologous_to	10
SGD	GO	biolink:has_phenotype	9
MONDO	CHEBI	biolink:related_to	46
IAO	IAO	biolink:has_participant	3
http	dcterms	biolink:subclass_of	2
FlyBase	REACT	biolink:actively_involved_in	6083
OMIM	SO	biolink:subclass_of	96
MGI	FlyBase	biolink:orthologous_to	17380
MGI	MGI	biolink:genetically_interacts_with	42
WormBase	dictyBase	biolink:orthologous_to	7384
ZP	FBcv	biolink:subclass_of	1818
FBcv	WBPhenotype	biolink:subclass_of	71
WBPhenotype	owl	biolink:subclass_of	62
MONARCH_BNODE	MONARCH_BNODE	biolink:has_sequence_location	3059
WormBase	SGD	biolink:orthologous_to	2640
OBO	OBO	biolink:participates_in	2
PR	PR	biolink:has_part	2
GO	UBERON	biolink:has_participant	2
HP	DOID	biolink:subclass_of	6
Coriell	OMIM	biolink:model_of	12242
ENVO	OBO	biolink:related_to	36
GO	NCBITaxon	biolink:has_input	19
MONARCH_NODE	http	biolink:related_to	142
HGNC	OBO	biolink:related_to	45014
BSPO	OBO	biolink:subclass_of	6
HGNC	FlyBase	biolink:interacts_with	14
MONARCH_BNODE	FlyBase	biolink:related_to	3
GENO	owl	biolink:related_to	1
ZFIN	EcoGene	biolink:related_to	291
Xenbase	PomBase	biolink:orthologous_to	2473
WBPhenotype	UPHENO	biolink:subclass_of	1
*non-standard CURIE*	NCBITaxon	owl:someValuesFrom	9
PW	PW	biolink:related_to	136
MONDO	NCBITaxon	biolink:related_to	664
GO	SO	biolink:has_participant	5
GO	PO	biolink:related_to	165
dbSNP	Orphanet	biolink:related_to	1144
WormBase	OBO	biolink:expressed_in	8988
PR	PR	biolink:related_to	3
MONARCH_BNODE	OBO	biolink:has_phenotype	3042
FlyBase	GO	biolink:has_phenotype	2
CL	UBERON	biolink:subclass_of	237
https	NCBIGene	biolink:biomarker_for	42481
NCIT	DOID	biolink:subclass_of	8101
GO	CHEBI	biolink:has_participant	24
OBI	OBI	biolink:has_participant	6
UMLS	MP	biolink:subclass_of	14
MGI	EcoGene	biolink:related_to	291
NCIT	OGMS	biolink:subclass_of	10
MONARCH_BNODE	Orphanet	biolink:related_to	18
NCBIGene	NCBIGene	biolink:interacts_with	73
GO	OBO	biolink:related_to	118
ENVO	BFO	biolink:subclass_of	15
OBO	HGNC	biolink:related_to	44422
UBERON	UBERON	biolink:location_of	10
PO	NCBITaxon	biolink:related_to	2
ENVO	CHEBI	biolink:subclass_of	1
HGNC	MGI	biolink:orthologous_to	7064
ENVO	ENVO	biolink:type	41
NCBIGene	Xenbase	biolink:related_to	1893
NCBIGene	http	biolink:orthologous_to	40
GO	GO	biolink:negatively_regulates_process_to_process	3160
MP	CL	biolink:subclass_of	475
HP	http	biolink:subclass_of	7
XCO	XCO	biolink:regulates_process_to_process	35
ENSEMBL	UBERON	biolink:expressed_in	719942
DOID	Orphanet	biolink:subclass_of	7042
HGNC	NCBIGene	biolink:related_to	469
ZFIN	NCBITaxon	biolink:related_to	15
RGD	ENSEMBL	biolink:related_to	117939
http	owl	biolink:subclass_of	54
dbSNP	OBO	biolink:related_to	4
WBPhenotype	ZP	biolink:subclass_of	463
NCBIGene	OMIM	biolink:has_phenotype	17
MP	GO	biolink:subclass_of	883
IAO	OIO	biolink:subclass_of	16
CL	NCBITaxon	biolink:in_taxon	2
MONARCH_BNODE	ClinVar	biolink:related_to	737221
HGNC	OMIMPS	biolink:related_to	2415
Orphanet	Orphanet	biolink:subclass_of	14250
ENSEMBL	MGI	biolink:orthologous_to	14489
foaf	SEPIO	biolink:subclass_of	1
OBI	OBO	biolink:subclass_of	3
BIOGRID	MONARCH_BNODE	biolink:has_sequence_location	2192
MONARCH_BNODE	OBO	biolink:related_to	742
RO	BFO	biolink:subclass_of	2
PANTHER	NCBIGene	biolink:related_to	943
VGNC	PomBase	biolink:related_to	3
OBI	PR	biolink:related_to	1
WormBase	FlyBase	biolink:orthologous_to	12853
FBcv	CL	biolink:related_to	1
ZFIN	NCBIGene	biolink:orthologous_to	13
PMID	MONARCH	biolink:related_to	1919
MGI	NCBITaxon	biolink:related_to	198
NCIT	http	biolink:subclass_of	9895
ENSEMBL	GO	biolink:enables	58420
GENO	IAO	biolink:type	2
NCBIGene	OMIM	biolink:related_to	24
ClinVarVariant	Orphanet	biolink:gene_associated_with_condition	3315
MGI	OBO	biolink:expressed_in	2757
https	HP	biolink:related_to	2
AQTLTrait	AQTLTrait	biolink:subclass_of	95
RO	http	biolink:subPropertyOf	2
NCBIGene	GO	biolink:enables	54230
DOID	OBO	biolink:subclass_of	19795
CL	UBERON	biolink:part_of	880
ENSEMBL	NCBIGene	biolink:related_to	3225
UBERON	CL	biolink:part_of	7
NCBIGene	UBERON	biolink:expressed_in	33356
NCBITaxon	NCBITaxon	biolink:in_taxon	509
OBO	BIOGRID	biolink:related_to	900
CL	PR	biolink:related_to	982
https	EFO	biolink:related_to	174
HGNC	ZFIN	biolink:orthologous_to	19849
BFO	owl	biolink:subPropertyOf	1
HP	MP	biolink:subclass_of	8972
https	HP	biolink:has_phenotype	294
MGI	NCBIGene	biolink:orthologous_to	2423
UBERON	GO	biolink:part_of	11
Orphanet	OBO	biolink:subclass_of	13338
FAO	FAO	biolink:related_to	2
UPHENO	OBO	biolink:subclass_of	1
*non-standard CURIE*	*non-standard CURIE*	biolink:subclass_of	9
OBO	GO	biolink:capable_of	429
WBPhenotype	HP	biolink:subclass_of	113
SEPIO	SEPIO	biolink:inverseOf	3
dbSNP	NCBIGene	biolink:related_to	4744
MONDO	DOID	biolink:subclass_of	29074
FlyBase	dictyBase	biolink:related_to	2987
FBcv	GO	biolink:subclass_of	38
sheepQTL	MONARCH_BNODE	biolink:has_sequence_location	6510
MONDO	OGMS	biolink:subclass_of	37
PMID	MGI	biolink:related_to	428695
HGNC	NCBIGene	biolink:interacts_with	414
https	MONARCH_NODE	biolink:related_to	24
FlyBase	SGD	biolink:related_to	2292
ENSEMBL	ZFIN	biolink:orthologous_to	199624
MONARCH_BNODE	NCBIGene	biolink:related_to	6413
OBO	RO	biolink:subPropertyOf	14
WormBase	EcoGene	biolink:related_to	249
NCBIGene	UniProtKB	biolink:has_gene_product	1085
FAO	NCBITaxon	biolink:related_to	1
NCIT	MP	biolink:subclass_of	10
HGNC	RGD	biolink:orthologous_to	3331
NCBIGene	PomBase	biolink:orthologous_to	143
UBERON	OBO	biolink:related_to	103
OBI	OBI	biolink:subclass_of	379
HGNC	UniProtKB	biolink:has_gene_product	13115
ZFIN	CL	biolink:expressed_in	735
SEPIO	pav	biolink:subPropertyOf	1
GOREL	RO	biolink:subPropertyOf	5
OMIA	MP	biolink:has_phenotype	1866
_	GO	biolink:has_phenotype	250
GO	OBO	biolink:has_attribute	26
UBERON	UBERON	biolink:precedes	3
OBI	prov	biolink:related_to	1
faldo	SO	biolink:subclass_of	1
GO	OBO	biolink:subclass_of	32
dbSNP	NCIT	biolink:related_to	25
UBERON	UBERON	biolink:located_in	527
UBERON	CL	biolink:has_part	233
MONARCH_BNODE	CoriellFamily	biolink:related_to	21318
MGI	ENSEMBL	biolink:related_to	126877
ENSEMBL	RGD	biolink:orthologous_to	8785
PR	GO	biolink:has_phenotype	1
GO	GO	biolink:regulates_process_to_process	3664
RGD	dictyBase	biolink:orthologous_to	9381
DOID	OBI	biolink:subclass_of	17
MP	OBO	biolink:related_to	6
ENVO	OBO	biolink:has_part	1
HGNC	GO	biolink:enables	19568
OBI	NCIT	biolink:subclass_of	1
RGD	SGD	biolink:orthologous_to	3768
UBERON	GO	biolink:has_part	44
ZP	owl	biolink:subclass_of	3742
OBO	GENO	biolink:subclass_of	1629
OBI	OBI	biolink:has_attribute	3
GENO	UBERON	biolink:subclass_of	1
MONDO	http	biolink:subclass_of	48830
http	HP	biolink:subclass_of	19
PR	GO	biolink:subclass_of	4
https	GENO	biolink:subclass_of	209
Orphanet	OBI	biolink:subclass_of	6
OBO	RO	biolink:subclass_of	5
BSPO	RO	biolink:subPropertyOf	4
PMID	ZFIN	biolink:related_to	101474
GO	CL	biolink:occurs_in	140
RGD	WormBase	biolink:orthologous_to	15223
OBO	OBO	biolink:occurs_in	14
XCO	XCO	biolink:subclass_of	769
ENVO	ENVO	biolink:related_to	99
UBERON	UBERON	biolink:overlaps	97
HGNC	HP	biolink:has_phenotype	26
DOID	NCIT	biolink:subclass_of	9445
SIO	OBI	biolink:subclass_of	1
OBI	OBI	biolink:part_of	2
GENO	SO	biolink:subclass_of	31
ClinVarVariant	OMIMPS	biolink:gene_associated_with_condition	14066
NCBIGene	MGI	biolink:interacts_with	30
dbSNP	MONARCH_BNODE	biolink:has_sequence_location	125680
GENO	BFO	biolink:subclass_of	11
PMID	HGNC	biolink:related_to	445544
GO	GO	biolink:occurs_in	305
dbSNP	pigQTL	biolink:biomarker_for	87
HP	https	biolink:related_to	778
SEPIO	IAO	biolink:has_output	1
GENO	CHEBI	biolink:subclass_of	1
Orphanet	NCIT	biolink:subclass_of	5417
SEPIO	prov	biolink:related_to	1
FlyBase	FlyBase	biolink:related_to	190338
BIOGRID	Orphanet	biolink:related_to	24
UBERON	OBI	biolink:related_to	1
GENO	OIO	biolink:subPropertyOf	13
CHEBI	owl	biolink:subclass_of	11
FlyBase	http	biolink:orthologous_to	664
ENVO	ENVO	biolink:overlaps	9
SO	GENO	biolink:subclass_of	17
GENO	owl	biolink:subPropertyOf	2
PMID	RGD	biolink:related_to	302153
HGNC	GO	biolink:part_of	23623
HGNC	MGI	biolink:related_to	16839
GO	CHEBI	biolink:has_part	16
SEPIO	OBI	biolink:subclass_of	3
GO	OBI	biolink:subclass_of	7
GO	OBO	biolink:negatively_regulates_process_to_process	11
MONDO	MP	biolink:subclass_of	14
EFO	UPHENO	biolink:subclass_of	2169
dbSNP	NCBIGene	biolink:biomarker_for	66968
MGI	APB	biolink:same_as	331
BIOGRID	OMIM	biolink:has_phenotype	900
PANTHER	MGI	biolink:related_to	20718
ENSEMBL	ENSEMBL	biolink:has_gene_product	7595
ZP	ZP	biolink:subclass_of	53288
GENO	IAO	biolink:subclass_of	2
OBAN	owl	biolink:subclass_of	1
MP	OBO	biolink:subclass_of	336
OBO	CL	biolink:subclass_of	1959
NCBIGene	GO	biolink:part_of	65726
MONARCH_BNODE	MONARCH	biolink:related_to	3051
RGD	http	biolink:related_to	149
NCBIGene	Xenbase	biolink:orthologous_to	93
BIOGRID	OBO	biolink:related_to	3931
RGD	FlyBase	biolink:orthologous_to	15099
OBO	GO	biolink:subclass_of	37
NCBIGene	ZFIN	biolink:interacts_with	826
MGI	APB	biolink:related_to	37
ENSEMBL	MGI	biolink:related_to	31253
MONARCH	ENSEMBL	biolink:related_to	2
PMID	BIOGRID	biolink:related_to	2207
XCO	XCO	biolink:part_of	14
NCBIGene	HGNC	biolink:interacts_with	496
ECO	owl	biolink:subclass_of	42
FBcv	OBO	biolink:related_to	1
FlyBase	OBO	biolink:related_to	11462
HGNC	ZFIN	biolink:related_to	12161
HGNC	Orphanet	biolink:biomarker_for	414
UBERON	OBO	biolink:part_of	1
FlyBase	FBcv	biolink:has_phenotype	149834
HGNC	MGI	biolink:interacts_with	308
SO	SO	biolink:part_of	1
ZP	HP	biolink:subclass_of	4014
MGI	GENO	biolink:subclass_of	198
HGNC	HGNC	biolink:related_to	3197
SO	SO	biolink:related_to	628
WBPhenotype	UBERON	biolink:subclass_of	106
MONARCH_BNODE	MGI	biolink:related_to	197626
https	MONDO	biolink:related_to	7
PANTHER	ZFIN	biolink:related_to	19245
horseQTL	NCBIGene	biolink:related_to	153
GO	PR	biolink:has_input	298
APO	UPHENO	biolink:subclass_of	8
KEGG-ko	MONARCH_BNODE	biolink:has_gene_product	12747
HGNC	NCBIGene	biolink:has_gene_product	1
FBcv	OBO	biolink:subclass_of	22
UBERON	UBERON	biolink:produces	22
PANTHER	HGNC	biolink:related_to	19206
MGI	UniProtKB	biolink:has_gene_product	7104
NCBITaxon	GO	biolink:subclass_of	46
FlyBase	FlyBase	biolink:interacts_with	60276
BFO	BFO	biolink:inverseOf	5
FlyBase	PomBase	biolink:orthologous_to	1980
MGI	MP	biolink:has_phenotype	598266
OBO	UBERON	biolink:related_to	8
HGNC	RGD	biolink:related_to	15668
ZFIN	HGNC	biolink:orthologous_to	4748
Xenbase	SO	biolink:subclass_of	15904
MONARCH_BNODE	HGNC	biolink:has_phenotype	627
dbSNP	rainbow_troutQTL	biolink:biomarker_for	440
MONDO	PR	biolink:related_to	20
ENSEMBL	ZFIN	biolink:related_to	119500
NCBIGene	dictyBase	biolink:related_to	42
OMIM	dbSNP	biolink:related_to	108
faldo	faldo	biolink:subclass_of	13
NCBIGene	SGD	biolink:related_to	45
SEPIO	SEPIO	biolink:related_to	9
Xenbase	ENSEMBL	biolink:related_to	113
BIOGRID	SO	biolink:subclass_of	2219
ClinVarVariant	OMIM	biolink:related_to	135398
MONDO	NCBITaxon	biolink:in_taxon	1
MP	FBcv	biolink:subclass_of	263
NCBIGene	SO	biolink:subclass_of	542874
MONARCH_NODE	DOID	biolink:has_phenotype	38
SGD	OBO	biolink:related_to	6439
ZFIN	http	biolink:related_to	146
GENO	SO	biolink:related_to	9
ZFIN	UniProtKB	biolink:has_gene_product	2755
MGI	ZFIN	biolink:orthologous_to	26613
PANTHER	RGD	biolink:related_to	18137
CLO	owl	biolink:subPropertyOf	1
UBERON	ENVO	biolink:related_to	8
BIOGRID	NCBIGene	biolink:same_as	55
FlyBase	NCBIGene	biolink:related_to	11963
MGI	GO	biolink:actively_involved_in	148562
ZFIN	OBO	biolink:expressed_in	512
HGNC	CL	biolink:expressed_in	9853
http	UMLS	biolink:subclass_of	27412
UBERON	GENO	biolink:subclass_of	2
ZFIN	ZP	biolink:has_phenotype	189573
RGD	PomBase	biolink:related_to	2450
MP	NCIT	biolink:subclass_of	3
NCBIGene	WormBase	biolink:related_to	144
https	NCBITaxon	biolink:related_to	206
OBO	CHEBI	biolink:related_to	25
GO	ENVO	biolink:subclass_of	4
OBO	PO	biolink:derives_from	4
GO	OBO	biolink:regulates_process_to_process	80
PO	PO	biolink:has_participant	3
ENSEMBL	GO	biolink:actively_involved_in	120005
MGI	http	biolink:related_to	158
HGNC	ZFIN	biolink:interacts_with	2
dbSNP	HGNC	biolink:related_to	97824
ENSEMBL	RGD	biolink:related_to	29189
MONARCH_BNODE	HGNC	biolink:biomarker_for	1
HGNC	BIOGRID	biolink:related_to	1
MONARCH_BNODE	ZFIN	biolink:related_to	51246
MESH	MESH	biolink:biomarker_for	64340
RO	RO	biolink:related_to	1
ENVO	ENVO	biolink:has_part	20
OBO	BSPO	biolink:subPropertyOf	6
DOID	owl	biolink:subclass_of	8
http	UBERON	biolink:subclass_of	14
OBO	OBO	biolink:derives_from	18
HGNC	HGNC	biolink:interacts_with	63079
MGI	RGD	biolink:orthologous_to	4850
MONARCH_BNODE	HGNC	biolink:related_to	50
GO	PO	biolink:occurs_in	10
GO	PR	biolink:has_participant	3
HP	biolink	biolink:subclass_of	394
OBO	OBO	biolink:has_participant	3
HP	WBPhenotype	biolink:subclass_of	121
Orphanet	owl	biolink:subclass_of	13
BIOGRID	OMIM	biolink:biomarker_for	56
AspGD	GO	biolink:actively_involved_in	244871
UPHENO	owl	biolink:subclass_of	7
MONARCH_NODE	MONARCH_BNODE	biolink:related_to	78988
faldo	rdf	biolink:subclass_of	2
RGD	NCBIGene	biolink:orthologous_to	1175
GENO	NCBITaxon	biolink:related_to	2
